"year","floatDate","floattime","r0_1","Cn2","residual_Kolmo","r0Kalman","L0Kalman","residual_Kalman","r0power","r0expo","residual_power","r0max","r0min","Cn2max","Cn2min","r0noTT.0.","Cn2noTT","r0noTT.1.","residual_KolmonoTT","imamax","npixsat","offsets.0.","offsets.1.","flagdata"
2022,8.58065,22.58333,0.78694,2.2414e-13,0.0017,0.59362,0.32053,0.00156,2.29298,1.32872,0.00156,0.7645,0.77643,2.3521e-13,2.2922e-13,0.5361,0.41798,4.2496e-13,0.00085,54514.598,0,-13,-26,0
2022,8.58065,22.66667,0.64302,3.1385e-13,0.00472,0.43308,0.255,0.0046,2.75808,1.19788,0.00458,0.52558,0.68197,4.3924e-13,2.8455e-13,0.36574,0.30405,8.0381e-13,0.00196,51795.384,0,-13,-26,0
2022,8.58065,22.75,0.56628,3.8789e-13,0.00521,0.28789,0.09769,0.00494,1.99069,1.24264,0.00498,0.44135,0.61895,5.8765e-13,3.3445e-13,0.30831,0.26246,1.0685e-12,0.00214,51242.528,0,-13,-26,0
2022,8.58065,22.83333,0.62514,3.2895e-13,0.00264,0.45759,0.26849,0.00239,1.60321,1.34968,0.0024,0.57189,0.64637,3.8157e-13,3.1114e-13,0.42707,0.34575,6.2077e-13,0.00094,51164.38,0,-13,-26,0
2022,8.58065,22.91667,0.69768,2.7395e-13,0.00396,0.61268,5.0625,0.00386,0.62268,1.67979,0.00386,0.59308,0.76852,3.5913e-13,2.3317e-13,0.8008,0.58374,2.1771e-13,0.00039,51849.352,0,-13,-26,0
2022,8.58065,23,0.78172,2.2664e-13,0.00286,0.35394,0.06727,0.00252,8.46269,1.05897,0.00253,0.73464,0.71052,2.5137e-13,2.6575e-13,0.41243,0.33551,6.5793e-13,0.0014,50392.492,0,-13,-26,0
2022,8.58065,23.08333,0.64422,3.1288e-13,0.00265,0.59984,3.1875,0.00264,0.61297,1.67401,0.00264,0.59857,0.69933,3.5365e-13,2.7287e-13,0.65662,0.49617,3.0309e-13,0.00052,49910.334,0,-13,-26,0
2022,8.58065,23.16667,0.94405,1.6549e-13,0.00162,0.46565,0.07606,0.0013,11.76059,1.06129,0.00131,0.82668,0.91135,2.0648e-13,1.7551e-13,0.52603,0.41211,4.386e-13,0.00086,50390.67,0,-13,-26,0
2022,8.58065,23.25,0.66483,2.9688e-13,0.00468,0.44436,0.28417,0.0046,1.7541,1.31804,0.00461,0.52039,0.62213,4.4656e-13,3.3161e-13,0.39477,0.3232,7.0772e-13,0.00175,51367.15,0,-13,-27,0
2022,8.58065,23.33333,0.39123,7.1842e-13,0.01269,0.35685,2.9375,0.01274,0.37123,1.66917,0.01282,0.30006,0.42289,1.1179e-12,6.3104e-13,0.23064,0.20844,1.7333e-12,0.00476,50174.162,0,-13,-26,0
